# golden_strong_pos_trace - per-frame reference output for Stage 1a
# STRONG POSITIVE (exact platform): p7_flyby seed=1150916893 snr=+6dB bed=wind_gusty f0=463.0Hz; flips at 2.650
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 2.140000   events: 1   VERDICT: FIRES
# peak score 2.988102   longest chain 67/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
# n_held_bins: comb-hold was MEASURED AND REJECTED in the final Stage 0 run; it is 0 on every frame. The column is fixed in the format so firmware need not branch.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
82,2.752000,1.754079,430,500.0,500.0,12,0,0,0,0,0,0,0
83,2.784000,1.535311,429,499.0,499.0,12,1,0,0,0,0,0,0
84,2.816000,1.670686,429,499.0,499.0,12,1,0,0,0,0,0,0
85,2.848000,1.451805,426,496.0,496.0,12,1,0,0,0,0,0,0
86,2.880000,1.463468,426,496.0,496.0,12,1,0,0,0,0,0,0
87,2.912000,1.644832,427,497.0,497.0,12,1,0,0,0,0,0,0
88,2.944000,1.517751,428,498.0,498.0,12,1,0,0,0,0,0,0
89,2.976000,1.659145,427,497.0,497.0,12,1,0,0,0,0,0,0
90,3.008000,1.211061,427,497.0,497.0,12,1,0,0,0,0,0,0
91,3.040000,1.319916,424,494.0,494.0,12,1,0,0,0,0,0,0
92,3.072000,1.810659,423,493.0,493.0,12,1,0,0,0,0,0,0
93,3.104000,1.138163,178,248.0,248.0,12,1,0,0,0,0,0,0
94,3.136000,1.234434,426,496.0,496.0,12,1,0,0,0,0,0,0
95,3.168000,1.186531,616,686.0,686.0,11,1,0,0,0,0,0,0
96,3.200000,1.246209,424,494.0,494.0,12,1,0,0,0,0,0,0
97,3.232000,1.378911,424,494.0,494.0,12,1,0,0,0,0,0,0
98,3.264000,1.444796,425,495.0,495.0,12,1,0,0,0,0,0,0
99,3.296000,1.250078,1272,1342.0,1342.0,5,1,0,0,0,0,0,0
100,3.328000,1.452426,424,494.0,494.0,12,1,0,0,0,0,0,0
101,3.360000,1.556799,1413,1483.0,1483.0,5,1,0,0,0,0,0,0
102,3.392000,1.464223,423,493.0,493.0,11,1,0,0,0,0,0,0
103,3.424000,1.288967,423,493.0,493.0,12,1,0,0,0,0,0,0
104,3.456000,1.481069,422,492.0,492.0,12,1,0,0,0,0,0,0
105,3.488000,1.598948,422,492.0,492.0,12,1,0,0,0,0,0,0
106,3.520000,1.495414,422,492.0,492.0,12,1,0,0,0,0,0,0
107,3.552000,1.613457,422,492.0,492.0,12,1,0,0,0,0,0,0
108,3.584000,1.772808,422,492.0,492.0,12,1,0,0,0,0,0,0
109,3.616000,1.351207,420,490.0,490.0,12,1,0,0,0,0,0,0
110,3.648000,1.652742,421,491.0,491.0,12,1,0,0,0,0,0,0
111,3.680000,1.573980,421,491.0,491.0,12,1,0,0,0,0,0,0
112,3.712000,1.839162,420,490.0,490.0,12,0,0,0,0,0,0,0
113,3.744000,1.724043,419,489.0,489.0,12,0,0,0,0,0,0,0
114,3.776000,1.708099,420,490.0,490.0,12,0,0,0,0,0,0,0
115,3.808000,1.430263,419,489.0,489.0,12,0,0,0,0,0,0,0
