# golden_marginal_neg_trace - per-frame reference output for Stage 1a
# MARGINAL NEGATIVE: livestock seed=1763911438 level=+12dB bed=pink; flips at 2.135 vs operating 2.1400
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 2.140000   events: 0   VERDICT: NO FIRE
# peak score 2.691269   longest chain 4/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
# n_held_bins: comb-hold was MEASURED AND REJECTED in the final Stage 0 run; it is 0 on every frame. The column is fixed in the format so firmware need not branch.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
122,4.032000,0.794570,1555,1625.0,1625.0,4,1,0,0,0,0,0,0
123,4.064000,0.789615,1096,1166.0,1166.0,6,0,0,0,0,0,0,0
124,4.096000,0.744472,1848,1918.0,1918.0,3,0,0,0,0,0,0,0
125,4.128000,0.624964,1302,1372.0,1372.0,5,0,0,0,0,0,0,0
126,4.160000,0.806669,1354,1424.0,1424.0,5,0,0,0,0,0,0,0
127,4.192000,0.991314,648,718.0,718.0,10,0,0,0,0,0,0,0
128,4.224000,0.938115,1364,1434.0,1434.0,4,0,0,0,0,0,0,0
129,4.256000,0.783797,57,127.0,127.0,12,0,0,0,0,0,0,0
130,4.288000,0.773224,883,953.0,953.0,7,0,0,0,0,0,0,0
131,4.320000,0.927296,403,473.0,473.0,10,0,0,0,0,0,0,0
132,4.352000,0.853123,1733,1803.0,1803.0,4,0,0,0,0,0,0,0
133,4.384000,1.056565,508,578.0,578.0,12,1,0,0,0,0,0,0
134,4.416000,0.877302,805,875.0,875.0,8,1,0,0,0,0,0,0
135,4.448000,0.788955,1602,1672.0,1672.0,4,1,0,0,0,0,0,0
136,4.480000,0.773244,864,934.0,934.0,8,1,0,0,0,0,0,0
137,4.512000,0.732494,822,892.0,892.0,8,0,0,0,0,0,0,0
138,4.544000,0.826800,225,295.0,295.0,11,0,0,0,0,0,0,0
139,4.576000,0.869003,1442,1512.0,1512.0,5,0,0,0,0,0,0,0
140,4.608000,0.824844,969,1039.0,1039.0,7,0,0,0,0,0,0,0
141,4.640000,0.859091,969,1039.0,1039.0,7,0,0,0,0,0,0,0
142,4.672000,0.839132,1473,1543.0,1543.0,5,0,0,0,0,0,0,0
143,4.704000,0.797860,1472,1542.0,1542.0,5,0,0,0,0,0,0,0
144,4.736000,0.720848,75,145.0,145.0,12,0,0,0,0,0,0,0
145,4.768000,0.782017,882,952.0,952.0,8,0,0,0,0,0,0,0
146,4.800000,0.718642,1826,1896.0,1896.0,4,0,0,0,0,0,0,0
147,4.832000,0.947011,1348,1418.0,1418.0,5,0,0,0,0,0,0,0
148,4.864000,0.918734,856,926.0,926.0,8,0,0,0,0,0,0,0
149,4.896000,0.859795,1522,1592.0,1592.0,4,0,0,0,0,0,0,0
150,4.928000,0.749251,1081,1151.0,1151.0,6,0,0,0,0,0,0,0
151,4.960000,0.740914,919,989.0,989.0,7,0,0,0,0,0,0,0
152,4.992000,0.884879,883,953.0,953.0,7,0,0,0,0,0,0,0
153,5.024000,0.902724,633,703.0,703.0,11,0,0,0,0,0,0,0
154,5.056000,0.881419,459,529.0,529.0,12,0,0,0,0,0,0,0
155,5.088000,0.780373,1138,1208.0,1208.0,6,0,0,0,0,0,0,0
156,5.120000,0.755939,858,928.0,928.0,8,0,0,0,0,0,0,0
157,5.152000,0.755793,342,412.0,412.0,11,0,0,0,0,0,0,0
158,5.184000,0.913293,1190,1260.0,1260.0,6,0,0,0,0,0,0,0
159,5.216000,0.817783,1112,1182.0,1182.0,6,0,0,0,0,0,0,0
160,5.248000,0.904509,167,237.0,237.0,11,0,0,0,0,0,0,0
161,5.280000,0.897557,657,727.0,727.0,9,0,0,0,0,0,0,0
162,5.312000,0.852440,1682,1752.0,1752.0,4,0,0,0,0,0,0,0
163,5.344000,0.782883,772,842.0,842.0,9,0,0,0,0,0,0,0
164,5.376000,0.864219,163,233.0,233.0,12,0,0,0,0,0,0,0
165,5.408000,1.021044,1430,1500.0,1500.0,5,0,0,0,0,0,0,0
166,5.440000,0.792201,35,105.0,105.0,12,0,0,0,0,0,0,0
167,5.472000,0.858211,1133,1203.0,1203.0,6,0,0,0,0,0,0,0
168,5.504000,0.738064,1158,1228.0,1228.0,6,0,0,0,0,0,0,0
169,5.536000,0.775805,1426,1496.0,1496.0,5,0,0,0,0,0,0,0
170,5.568000,0.813959,1715,1785.0,1785.0,4,0,0,0,0,0,0,0
171,5.600000,0.894542,869,939.0,939.0,8,0,0,0,0,0,0,0
172,5.632000,0.934492,430,500.0,500.0,11,0,0,0,0,0,0,0
173,5.664000,0.964552,829,899.0,899.0,8,0,0,0,0,0,0,0
174,5.696000,0.985570,1707,1777.0,1777.0,4,0,0,0,0,0,0,0
175,5.728000,0.933587,740,810.0,810.0,9,0,0,0,0,0,0,0
176,5.760000,0.903868,1061,1131.0,1131.0,6,0,0,0,0,0,0,0
177,5.792000,0.994855,1502,1572.0,1572.0,4,0,0,0,0,0,0,0
178,5.824000,0.791124,531,601.0,601.0,11,0,0,0,0,0,0,0
179,5.856000,1.054791,48,118.0,118.0,11,0,0,0,0,0,0,0
180,5.888000,0.823260,1049,1119.0,1119.0,6,0,0,0,0,0,0,0
181,5.920000,0.881595,1215,1285.0,1285.0,6,0,0,0,0,0,0,0
182,5.952000,0.905222,259,329.0,329.0,11,0,0,0,0,0,0,0
183,5.984000,0.838046,1352,1422.0,1422.0,5,0,0,0,0,0,0,0
184,6.016000,0.964682,843,913.0,913.0,8,0,0,0,0,0,0,0
185,6.048000,0.895584,1017,1087.0,1087.0,7,0,0,0,0,0,0,0
186,6.080000,0.881810,1748,1818.0,1818.0,4,0,0,0,0,0,0,0
187,6.112000,0.832187,1033,1103.0,1103.0,7,0,0,0,0,0,0,0
188,6.144000,0.846228,138,208.0,208.0,12,0,0,0,0,0,0,0
189,6.176000,1.044745,40,110.0,110.0,12,0,0,0,0,0,0,0
190,6.208000,1.071787,40,110.0,110.0,12,0,0,0,0,0,0,0
191,6.240000,1.126082,1331,1401.0,1401.0,5,0,0,0,0,0,0,0
192,6.272000,0.943011,464,534.0,534.0,12,0,0,0,0,0,0,0
193,6.304000,0.977776,1233,1303.0,1303.0,5,0,0,0,0,0,0,0
194,6.336000,0.849138,175,245.0,245.0,12,0,0,0,0,0,0,0
195,6.368000,0.973636,1435,1505.0,1505.0,5,0,0,0,0,0,0,0
196,6.400000,0.950142,785,855.0,855.0,9,0,0,0,0,0,0,0
197,6.432000,0.793639,336,406.0,406.0,11,0,0,0,0,0,0,0
198,6.464000,0.922549,414,484.0,484.0,12,0,0,0,0,0,0,0
199,6.496000,0.829788,461,531.0,531.0,11,0,0,0,0,0,0,0
200,6.528000,0.985340,1847,1917.0,1917.0,4,0,0,0,0,0,0,0
201,6.560000,0.832479,1389,1459.0,1459.0,5,0,0,0,0,0,0,0
202,6.592000,0.812461,64,134.0,134.0,12,0,0,0,0,0,0,0
203,6.624000,1.053842,152,222.0,222.0,12,0,0,0,0,0,0,0
204,6.656000,0.910566,405,475.0,475.0,12,0,0,0,0,0,0,0
205,6.688000,0.805297,639,709.0,709.0,11,0,0,0,0,0,0,0
206,6.720000,0.996646,1391,1461.0,1461.0,5,0,0,0,0,0,0,0
207,6.752000,0.896393,724,794.0,794.0,9,0,0,0,0,0,0,0
208,6.784000,0.784537,1564,1634.0,1634.0,4,0,0,0,0,0,0,0
209,6.816000,0.831394,1111,1181.0,1181.0,6,0,0,0,0,0,0,0
210,6.848000,0.793610,1105,1175.0,1175.0,6,0,0,0,0,0,0,0
211,6.880000,0.950866,201,271.0,271.0,12,0,0,0,0,0,0,0
212,6.912000,0.809869,581,651.0,651.0,11,0,0,0,0,0,0,0
213,6.944000,0.947087,1857,1927.0,1927.0,4,0,0,0,0,0,0,0
214,6.976000,0.979811,397,467.0,467.0,12,0,0,0,0,0,0,0
215,7.008000,0.801533,1805,1875.0,1875.0,4,0,0,0,0,0,0,0
216,7.040000,0.995060,205,275.0,275.0,12,0,0,0,0,0,0,0
217,7.072000,0.878023,1439,1509.0,1509.0,5,0,0,0,0,0,0,0
218,7.104000,0.776432,821,891.0,891.0,8,0,0,0,0,0,0,0
219,7.136000,0.784638,299,369.0,369.0,12,0,0,0,0,0,0,0
220,7.168000,0.917065,1054,1124.0,1124.0,6,0,0,0,0,0,0,0
221,7.200000,0.832803,1463,1533.0,1533.0,5,0,0,0,0,0,0,0
222,7.232000,0.846739,1199,1269.0,1269.0,6,0,0,0,0,0,0,0
223,7.264000,0.861061,965,1035.0,1035.0,7,0,0,0,0,0,0,0
224,7.296000,0.934842,57,127.0,127.0,12,0,0,0,0,0,0,0
225,7.328000,0.921227,948,1018.0,1018.0,7,0,0,0,0,0,0,0
226,7.360000,0.893795,950,1020.0,1020.0,7,0,0,0,0,0,0,0
227,7.392000,0.800930,1325,1395.0,1395.0,5,0,0,0,0,0,0,0
228,7.424000,1.037174,629,699.0,699.0,10,0,0,0,0,0,0,0
229,7.456000,0.955181,199,269.0,269.0,12,0,0,0,0,0,0,0
230,7.488000,0.944117,812,882.0,882.0,8,0,0,0,0,0,0,0
231,7.520000,1.007529,1430,1500.0,1500.0,5,0,0,0,0,0,0,0
232,7.552000,1.103352,451,521.0,521.0,12,0,0,0,0,0,0,0
233,7.584000,0.878067,1330,1400.0,1400.0,5,0,0,0,0,0,0,0
234,7.616000,0.780463,1185,1255.0,1255.0,6,0,0,0,0,0,0,0
235,7.648000,0.967349,1737,1807.0,1807.0,4,0,0,0,0,0,0,0
236,7.680000,0.929892,1564,1634.0,1634.0,4,0,0,0,0,0,0,0
237,7.712000,0.822950,455,525.0,525.0,12,0,0,0,0,0,0,0
238,7.744000,1.088255,1227,1297.0,1297.0,6,0,0,0,0,0,0,0
239,7.776000,0.981470,292,362.0,362.0,12,0,0,0,0,0,0,0
240,7.808000,0.919658,731,801.0,801.0,9,0,0,0,0,0,0,0
241,7.840000,0.836345,241,311.0,311.0,12,0,0,0,0,0,0,0
242,7.872000,1.083727,879,949.0,949.0,8,0,0,0,0,0,0,0
243,7.904000,0.846730,620,690.0,690.0,11,0,0,0,0,0,0,0
244,7.936000,0.901346,925,995.0,995.0,7,0,0,0,0,0,0,0
245,7.968000,0.852312,781,851.0,851.0,9,0,0,0,0,0,0,0
246,8.000000,0.785681,484,554.0,554.0,12,0,0,0,0,0,0,0
247,8.032000,0.927851,120,190.0,190.0,12,0,0,0,0,0,0,0
248,8.064000,0.935715,989,1059.0,1059.0,7,0,0,0,0,0,0,0
249,8.096000,0.937699,312,382.0,382.0,11,0,0,0,0,0,0,0
250,8.128000,0.847328,103,173.0,173.0,11,0,0,0,0,0,0,0
251,8.160000,1.013146,1117,1187.0,1187.0,6,0,0,0,0,0,0,0
252,8.192000,0.865057,1241,1311.0,1311.0,5,0,0,0,0,0,0,0
253,8.224000,0.965809,66,136.0,136.0,11,0,0,0,0,0,0,0
254,8.256000,0.934516,1645,1715.0,1715.0,4,0,0,0,0,0,0,0
255,8.288000,0.953313,1680,1750.0,1750.0,4,0,0,0,0,0,0,0
256,8.320000,1.031851,518,588.0,588.0,12,0,0,0,0,0,0,0
257,8.352000,0.852728,1251,1321.0,1321.0,5,0,0,0,0,0,0,0
258,8.384000,0.880072,1614,1684.0,1684.0,4,0,0,0,0,0,0,0
259,8.416000,0.914786,878,948.0,948.0,7,0,0,0,0,0,0,0
260,8.448000,0.837758,1527,1597.0,1597.0,4,0,0,0,0,0,0,0
261,8.480000,0.915567,518,588.0,588.0,12,0,0,0,0,0,0,0
262,8.512000,0.916138,127,197.0,197.0,12,0,0,0,0,0,0,0
263,8.544000,1.144509,1834,1904.0,1904.0,4,0,0,0,0,0,0,0
264,8.576000,1.052465,1544,1614.0,1614.0,4,0,0,0,0,0,0,0
265,8.608000,1.005218,741,811.0,811.0,9,0,0,0,0,0,0,0
266,8.640000,0.800493,196,266.0,266.0,12,0,0,0,0,0,0,0
267,8.672000,1.051163,375,445.0,445.0,10,0,0,0,0,0,0,0
268,8.704000,1.043555,637,707.0,707.0,11,0,0,0,0,0,0,0
269,8.736000,0.919548,704,774.0,774.0,9,0,0,0,0,0,0,0
270,8.768000,0.710572,706,776.0,776.0,9,0,0,0,0,0,0,0
271,8.800000,0.819458,482,552.0,552.0,12,0,0,0,0,0,0,0
272,8.832000,0.809755,1611,1681.0,1681.0,4,0,0,0,0,0,0,0
273,8.864000,0.829038,430,500.0,500.0,12,0,0,0,0,0,0,0
274,8.896000,0.858725,1251,1321.0,1321.0,5,0,0,0,0,0,0,0
275,8.928000,1.116884,420,490.0,490.0,12,0,0,0,0,0,0,0
276,8.960000,0.875415,770,840.0,840.0,8,0,0,0,0,0,0,0
277,8.992000,0.860089,1644,1714.0,1714.0,4,0,0,0,0,0,0,0
278,9.024000,0.854640,1506,1576.0,1576.0,4,0,0,0,0,0,0,0
279,9.056000,0.710289,389,459.0,459.0,11,0,0,0,0,0,0,0
280,9.088000,1.050164,1432,1502.0,1502.0,5,0,0,0,0,0,0,0
281,9.120000,0.888651,1457,1527.0,1527.0,5,0,0,0,0,0,0,0
282,9.152000,1.149058,329,399.0,399.0,12,0,0,0,0,0,0,0
283,9.184000,0.843342,257,327.0,327.0,12,0,0,0,0,0,0,0
284,9.216000,0.886025,457,527.0,527.0,11,0,0,0,0,0,0,0
285,9.248000,0.801095,1048,1118.0,1118.0,6,0,0,0,0,0,0,0
286,9.280000,0.875970,70,140.0,140.0,12,0,0,0,0,0,0,0
287,9.312000,0.836911,770,840.0,840.0,9,0,0,0,0,0,0,0
288,9.344000,0.768518,1289,1359.0,1359.0,5,0,0,0,0,0,0,0
289,9.376000,0.958618,664,734.0,734.0,10,0,0,0,0,0,0,0
290,9.408000,0.921223,323,393.0,393.0,12,0,0,0,0,0,0,0
291,9.440000,0.862009,166,236.0,236.0,12,0,0,0,0,0,0,0
292,9.472000,0.854599,349,419.0,419.0,12,0,0,0,0,0,0,0
293,9.504000,0.878267,407,477.0,477.0,12,0,0,0,0,0,0,0
